2025-08-19 10:04:21.958 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-08-19 10:04:22.000 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-08-19 10:04:28.289 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-19 10:04:28.326 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 5884 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-19 10:04:28.326 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-19 10:04:29.428 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-19 10:04:29.436 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-19 10:04:29.436 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-19 10:04:29.436 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-19 10:04:29.511 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-19 10:04:29.512 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1151 ms
2025-08-19 10:04:30.294 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@cd5ff55, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6003220a, org.springframework.security.web.context.SecurityContextHolderFilter@9e62fb, org.springframework.security.web.header.HeaderWriterFilter@350bbd5d, org.springframework.security.web.authentication.logout.LogoutFilter@7e3ee128, com.ankai.security.JwtAuthenticationFilter@6b867ee7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@43c0c13a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@731db93f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@16b64a03, org.springframework.security.web.session.SessionManagementFilter@42cc5460, org.springframework.security.web.access.ExceptionTranslationFilter@5a39e554, org.springframework.security.web.access.intercept.AuthorizationFilter@374b6e33]
2025-08-19 10:04:30.657 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-19 10:04:30.677 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-08-19 10:04:30.687 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 2.869 seconds (process running for 3.503)
2025-08-19 10:07:15.792 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-19 10:07:15.793 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-19 10:07:15.794 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-08-19 10:07:15.804 [http-nio-8080-exec-1] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui.html
2025-08-19 10:07:15.804 [http-nio-8080-exec-1] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui.html
2025-08-19 10:07:15.864 [http-nio-8080-exec-2] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui/index.html
2025-08-19 10:07:15.865 [http-nio-8080-exec-2] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui/index.html
2025-08-19 10:07:15.935 [http-nio-8080-exec-3] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui/swagger-ui.css
2025-08-19 10:07:15.935 [http-nio-8080-exec-3] INFO  com.ankai.security.JwtAuthenticationFilter - 跳过JWT验证，直接放行: /swagger-ui/swagger-ui.css
2025-08-19 10:07:15.955 [http-nio-8080-exec-5] INFO  com.ankai.security.JwtAuthenticationFilter - JWT过滤器处理请求: GET /swagger-ui/swagger-ui-bundle.js
